observation_id,normalized_segment_label,borehole_depth_m,permeability_m2,log10_permeability_m2,lookup_cell_id,lookup_material_id,lookup_status,usable_for_current_ogs_fit,cell_weight,sample_count_in_cell,measurement_semantics
perm_0050,BCD-A35,2.5,4e-21,-20.397940008672037,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0051,BCD-A35,3.3,4e-21,-20.397940008672037,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0150,BCD-A32,0.17,5e-16,-15.301029995663981,136,1,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0151,BCD-A32,0.31,2e-16,-15.698970004336019,8051,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0152,BCD-A32,0.45,2e-16,-15.698970004336019,8371,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0153,BCD-A32,0.59,2e-14,-13.698970004336019,3542,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0154,BCD-A32,0.73,5e-16,-15.301029995663981,6191,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0155,BCD-A32,0.87,8e-13,-12.096910013008056,4648,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0156,BCD-A32,1.01,3e-15,-14.522878745280337,7188,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0157,BCD-A32,1.15,8e-16,-15.096910013008056,5040,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0158,BCD-A32,1.29,4e-17,-16.397940008672037,5896,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0159,BCD-A32,1.7,2e-20,-19.69897000433602,4298,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0160,BCD-A32,2.5,5e-21,-20.30102999566398,5948,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0161,BCD-A32,3.3,5e-21,-20.30102999566398,3671,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0162,BCD-A32,0.15,5e-18,-17.30102999566398,136,1,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0163,BCD-A32,0.25,3e-20,-19.522878745280337,8051,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0164,BCD-A32,0.35,9e-20,-19.045757490560675,6995,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0165,BCD-A32,0.45,8e-20,-19.096910013008056,8371,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0166,BCD-A32,0.55,1e-13,-13.0,3542,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0167,BCD-A32,0.65,5e-20,-19.30102999566398,6191,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0168,BCD-A32,0.75,8e-20,-19.096910013008056,5292,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0169,BCD-A32,0.85,9e-20,-19.045757490560675,4648,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0170,BCD-A32,0.95,8e-20,-19.096910013008056,7188,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0171,BCD-A32,1.05,2e-20,-19.69897000433602,5046,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0172,BCD-A32,1.15,4e-20,-19.397940008672037,5040,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0173,BCD-A32,1.25,2e-21,-20.69897000433602,5896,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0174,BCD-A32,1.7,5e-21,-20.30102999566398,4298,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0175,BCD-A32,2.5,3e-21,-20.522878745280337,5948,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0176,BCD-A32,3.3,3e-21,-20.522878745280337,3671,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0178,BCD-A33,0.25,2e-17,-16.69897000433602,4096,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0179,BCD-A33,0.35,8e-17,-16.096910013008056,9359,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0180,BCD-A33,0.45,8e-17,-16.096910013008056,3600,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0181,BCD-A33,0.55,8e-15,-14.096910013008056,8057,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0183,BCD-A33,0.75,7e-15,-14.154901959985743,6194,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0184,BCD-A33,0.85,4e-18,-17.397940008672037,4649,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0185,BCD-A33,0.95,6e-18,-17.221848749616356,4650,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0186,BCD-A33,1.05,2e-15,-14.698970004336019,5034,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0187,BCD-A33,1.15,7e-16,-15.154901959985743,5030,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0188,BCD-A33,1.25,9e-17,-16.045757490560675,5749,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0189,BCD-A33,1.7,5e-17,-16.30102999566398,4317,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0190,BCD-A33,3.3,8e-21,-20.096910013008056,3864,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0191,BCD-A33,3.3,2e-21,-20.69897000433602,3864,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0192,BCD-A33,0.17,4e-20,-19.397940008672037,1781,1,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0193,BCD-A33,0.31,8e-20,-19.096910013008056,4096,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0194,BCD-A33,0.45,8e-20,-19.096910013008056,3600,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0195,BCD-A33,0.59,1e-21,-21.0,8057,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0196,BCD-A33,0.73,8e-20,-19.096910013008056,3539,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0197,BCD-A33,0.87,4e-20,-19.397940008672037,4649,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0198,BCD-A33,1.01,1e-20,-20.0,4650,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0199,BCD-A33,1.15,9e-20,-19.045757490560675,5030,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0200,BCD-A33,1.29,6e-20,-19.221848749616356,5749,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0201,BCD-A33,1.7,4e-21,-20.397940008672037,4317,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0202,BCD-A33,2.5,4e-21,-20.397940008672037,4497,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0203,BCD-A33,3.3,4e-21,-20.397940008672037,3864,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
