observation_id,normalized_segment_label,block_label,requested_start_label,requested_end_label,source_file,source_sheet,source_row_1based,campaign_year,campaign_note,twin,direction_inferred_from_label,borehole_depth_m,interval_length_m,permeability_m2,transmissibility_m3,log10_permeability_m2,geometry_evidence_status,geometry_evidence_source_file,geometry_evidence_locator,target_status,usable_for_current_ogs_fit,fit_use_recommendation,requested_coordinate_frame,current_activation_status,activation_rule
perm_0110,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,26,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.65,0.1,2e-20,2e-21,-19.69897000433602,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0096,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,9,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.75,0.1,5e-17,5e-18,-16.30102999566398,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0111,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,27,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.75,0.1,1e-20,1e-21,-20.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0097,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,10,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.85,0.1,5e-18,5e-19,-17.30102999566398,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0112,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,28,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.85,0.1,2e-20,2e-21,-19.69897000433602,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0098,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,11,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.95,0.1,6e-19,6e-20,-18.22184874961636,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0113,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,29,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.95,0.1,6e-20,6.0000000000000006e-21,-19.22184874961636,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0099,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,12,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.05,0.1,5e-15,5e-16,-14.30102999566398,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0114,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,30,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.05,0.1,5e-20,5.0000000000000005e-21,-19.30102999566398,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0100,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,13,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.15,0.1,1e-15,1e-16,-15.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0115,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,31,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.15,0.1,6e-21,6e-22,-20.22184874961636,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0101,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,14,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.25,0.1,4e-15,4e-16,-14.397940008672036,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0116,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,32,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.25,0.1,1e-20,1e-21,-20.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0102,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,15,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.7,0.1,1e-20,1e-21,-20.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0117,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,33,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,1.7,0.1,8e-21,7.999999999999999e-22,-20.096910013008056,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0103,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,16,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,2.5,0.1,6e-21,6e-22,-20.22184874961636,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0118,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,34,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,2.5,0.1,8e-21,7.999999999999999e-22,-20.096910013008056,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0104,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,17,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,3.3,0.1,5e-21,5e-22,-20.30102999566398,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0119,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,35,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,3.3,0.1,6e-21,6e-22,-20.22184874961636,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0120,BCD-A25,"BCDA_25 (horizontal, 2021)",BCD-A25 Anfang,BCD-A25 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,3,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,horizontal,0.15,0.1,1e-13,1.0000000000000002e-14,-13.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
