measurement,category,item,value,sources,comment
ert,ERT workbook/PDF support,2025-04-04_WC_vs_RHO_2025-02.xlsx / top-bottom,1 x 1; 0 non-empty cells,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Workbook rows summarize resistivity/water-content relation material and ERT missing-data notes.
ert,ERT workbook/PDF support,2025-04-04_WC_vs_RHO_2025-02.xlsx / Tabelle1,10 x 2; 16 non-empty cells; dates 2022-04-28T00:00:00 to 2025-02-13T00:00:00 (n=11); headers: ERT data is missing:,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Workbook rows summarize resistivity/water-content relation material and ERT missing-data notes.
ert,ERT workbook/PDF support,2025-04-04_WC_vs_RHO_2025-02.xlsx / Kruschwitz2004,"25 x 7; 120 non-empty cells; numeric ranges: C1: n=18, min=0.01, max=0.18; C2: n=21, min=0.0666667, max=26.92; C3: n=18, min=0.0390984, max=0.387025; C4: n=18, min=2.58381, max=25.5765; C6: n=18, min=16.6421, max=1601.55; C7: n=18, min=16.3597, max=753.377",cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Workbook rows summarize resistivity/water-content relation material and ERT missing-data notes.
ert,document/presentation extract,2025-02-27_CD-A_for_hermes_2D_250227x.pdf,type pdf; pages/slides 18; keywords ERT; NMR; humidity; permeability; bedding; fault; water content; saturation; pressure; laser; CD-A; niche; extract cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-02-27_CD-A_for_hermes_2D_250227x_0625d583.pdf.txt,cda_knowledge_base/measurements/ert/source_files/2025-02-27_CD-A_for_hermes_2D_250227x.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
ert,document/presentation extract,2025-04-04_WC_vs_RHO_open-closed.pdf,type pdf; pages/slides 1; keywords water content; extract cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-04-04_WC_vs_RHO_open-closed_00e80b7f.pdf.txt,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_open-closed.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
ert,document/presentation extract,2025-09-05_CD-A_for_hermes_2D_250904x.pdf,type pdf; pages/slides 20; keywords ERT; NMR; Taupe; TDR; suction; permeability; fracture; water content; saturation; pressure; laser; OGS; niche; extract cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-09-05_CD-A_for_hermes_2D_250904x_3b133a56.pdf.txt,cda_knowledge_base/measurements/ert/source_files/2025-09-05_CD-A_for_hermes_2D_250904x.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
ert,document/presentation extract,CD-A_Slides_TD_260427x.pdf,type pdf; pages/slides 34; keywords ERT; NMR; Taupe; suction; humidity; relative humidity; permeability; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; OGS; HERMES; CD-A; niche; extract cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_75e8adec.pdf.txt,cda_knowledge_base/measurements/ert/source_files/CD-A_Slides_TD_260427x.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
ert,document/presentation extract,CD-A_Stand-ERT-2026-04.pdf,type pdf; pages/slides 12; keywords ERT; fracture; CD-A; niche; extract cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/CD-A_Stand-ERT-2026-04_4393480c.pdf.txt,cda_knowledge_base/measurements/ert/source_files/CD-A_Stand-ERT-2026-04.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
nmr,catalogue scope,copied source files,"54 files; total copied source bytes 26506257; file kinds fig=11, pdf=3, png=13, text/data=24, xlsx=1, zip=2",,Counts are from cda_knowledge_base/measurements/deep_source_index.csv.
nmr,weekly NMR table,2025-09-15_Weekly_2021-2022_at_4S.dat,"21 records; 2021-10-12 23:10:20 to 2022-03-20 00:00:34; water content n=21, min=9.8973 %, mean=12.0038 %, max=13.1692 %; 95% CI n=21, min=0.3565 %, mean=0.4489 %, max=0.6066 %; T2 n=21, min=0.4786 ms, mean=0.5629 ms, max=0.6224 ms",cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,"Columns are Date, volumetric water content, water-content 95% confidence interval, T2, and T2 95% confidence interval."
nmr,weekly NMR table,2025-09-15_Weekly_2022-2025_at_4E.dat,"149 records; 2021-10-06 09:35:30 to 2025-09-09 11:24:25; water content n=149, min=8.5093 %, mean=10.5922 %, max=12.229 %; 95% CI n=149, min=0.3282 %, mean=0.5167 %, max=1.5217 %; T2 n=149, min=0.47 ms, mean=0.5634 ms, max=0.6674 ms",cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2022-2025_at_4E.dat,"Columns are Date, volumetric water content, water-content 95% confidence interval, T2, and T2 95% confidence interval."
nmr,seasonal NMR archive data tables,seasonal_nmr/saisonally/data_table_ascii,"22 campaign tables; 22 niche-campaign files; positions 3A, 3AB1, 3AB2, 3B, 3C, 3D, 3E, 3F, 3G, 3H, 3I, 3J, 3K, 3L, 3M, 3N, 4A, 4B, 4C, 4D, 4E, 4F, 4G, 4H, 4I, 4J, 4K, 4L, 4M, 4N, 4O, 4P, 4Q, 4R, 4S; water content n=294, min=2.7661 %, mean=12.5753 %, max=22.8096 %; 95% CI n=294, min=0.2849 %, mean=1.542 %, max=11.9794 %; Niche 3: 11 campaigns (2019-10-24 to 2025-02-13); Niche 4: 11 campaigns (2019-10-23 to 2025-02-12)",cda_knowledge_base/measurements/nmr/source_files/seasonal_nmr/saisonally/data_table_ascii/Niche3_Y_2019_M_10_D_24.dat; cda_knowledge_base/measurements/nmr/source_files/seasonal_nmr/saisonally/data_table_ascii/Niche3_Y_2020_M_03_D_03.dat; cda_knowledge_base/measurements/nmr/source_files/seasonal_nmr/saisonally/data_table_ascii/Niche3_Y_2020_M_09_D_17.dat; cda_knowledge_base/measurements/nmr/source_files/seasonal_nmr/saisonally/data_table_ascii/Niche3_Y_2021_M_03_D_19.dat,These .dat files were extracted from the Thunderbird-recovered saisonally.zip archive and are copied under source_files.
nmr,archive members,NMR-related extracted archive members,".dat=22, .fig=11, .png=11",,The member catalogue records the original ZIP provenance for each extracted NMR seasonal table and figure.
nmr,coordinate workbook,Coordinates_NMR_Taupe_characborehole.xlsx / Tabelle1,"39 x 8 sheet; 255 non-empty cells; numeric ranges: C2: n=35, min=2.579e+06, max=2.579e+06; C3: n=35, min=1.247e+06, max=1.247e+06; C4: n=35, min=507.711, max=514.328; C6: n=35, min=-10.2324, max=13.0348; C7: n=35, min=5.77969, max=11.6326; C8: n=35, min=-4.22899, max=2.38801",cda_knowledge_base/measurements/nmr/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,This workbook locates NMR/Taupe/characterization borehole labels in original and BGR model coordinates.
nmr,document/presentation extract,2025-09-05_NMR2025.pdf,type pdf; pages/slides 20; keywords ERT; NMR; humidity; water content; CD-A; niche; extract cda_knowledge_base/measurements/nmr/derived_files/deep_source_pass/extracted_text/2025-09-05_NMR2025_2e8f85ac.pdf.txt,cda_knowledge_base/measurements/nmr/source_files/2025-09-05_NMR2025.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
nmr,document/presentation extract,CD-A_Slides_TD_260427x.pdf,type pdf; pages/slides 34; keywords ERT; NMR; Taupe; suction; humidity; relative humidity; permeability; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; OGS; HERMES; CD-A; niche; extract cda_knowledge_base/measurements/nmr/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_cf33c334.pdf.txt,cda_knowledge_base/measurements/nmr/source_files/CD-A_Slides_TD_260427x.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
nmr,document/presentation extract,NMR2026.pdf,type pdf; pages/slides 29; keywords ERT; NMR; humidity; CD-A; niche; extract cda_knowledge_base/measurements/nmr/derived_files/deep_source_pass/extracted_text/NMR2026_22aad1f8.pdf.txt,cda_knowledge_base/measurements/nmr/source_files/NMR2026.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
taupe_tdr,catalogue scope,copied source files,"10 files; total copied source bytes 287757440; file kinds pdf=2, png=3, text/data=2, xlsx=2, zip=1",,Counts are from cda_knowledge_base/measurements/deep_source_index.csv.
taupe_tdr,workbook content,Coordinates_NMR_Taupe_characborehole.xlsx / Tabelle1,"39 x 8; 255 non-empty cells; numeric ranges: C2: n=35, min=2.579e+06, max=2.579e+06; C3: n=35, min=1.247e+06, max=1.247e+06; C4: n=35, min=507.711, max=514.328; C6: n=35, min=-10.2324, max=13.0348; C7: n=35, min=5.77969, max=11.6326; C8: n=35, min=-4.22899, max=2.38801",cda_knowledge_base/measurements/taupe_tdr/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,The Taupe/TDR workbook sheets give date ranges and EDZ band summaries; current model use remains trend/anomaly based until units/calibration are confirmed.
taupe_tdr,workbook content,Taupe_WC.xlsx / A3,"213 x 9; 1491 non-empty cells; dates 2019-12-01T00:00:00 to 2025-10-10T00:00:00 (n=212); numeric ranges: C2: n=212, min=10.1804, max=10.2588; C3: n=212, min=10.0765, max=10.1931; C4: n=212, min=10.1023, max=10.2138; C5: n=212, min=10.1438, max=10.2486; C6: n=212, min=10.199, max=10.2864; C7: n=212, min=10.3205, max=10.4571",cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,The Taupe/TDR workbook sheets give date ranges and EDZ band summaries; current model use remains trend/anomaly based until units/calibration are confirmed.
taupe_tdr,workbook content,Taupe_WC.xlsx / A4,"213 x 7; 1491 non-empty cells; dates 2019-12-01T00:00:00 to 2025-10-10T00:00:00 (n=212); numeric ranges: C2: n=212, min=10.2198, max=10.2661; C3: n=212, min=10.1701, max=10.2875; C4: n=212, min=10.1985, max=10.2746; C5: n=212, min=10.1942, max=10.3181; C6: n=212, min=10.2465, max=10.3574; C7: n=212, min=10.2463, max=10.407",cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,The Taupe/TDR workbook sheets give date ranges and EDZ band summaries; current model use remains trend/anomaly based until units/calibration are confirmed.
taupe_tdr,workbook content,Taupe_WC.xlsx / A7,"213 x 7; 1491 non-empty cells; dates 2019-12-01T00:00:00 to 2025-10-10T00:00:00 (n=212); numeric ranges: C2: n=212, min=10.2676, max=10.7081; C3: n=212, min=10.1542, max=10.5672; C4: n=212, min=10.2896, max=10.7126; C5: n=212, min=10.3659, max=10.8617; C6: n=212, min=10.3823, max=10.8947; C7: n=212, min=10.4261, max=11.0044",cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,The Taupe/TDR workbook sheets give date ranges and EDZ band summaries; current model use remains trend/anomaly based until units/calibration are confirmed.
taupe_tdr,workbook content,Taupe_WC.xlsx / A8,"213 x 7; 1491 non-empty cells; dates 2019-12-01T00:00:00 to 2025-10-10T00:00:00 (n=212); numeric ranges: C2: n=212, min=9.97487, max=10.2166; C3: n=212, min=9.87127, max=10.1692; C4: n=212, min=10.001, max=10.2454; C5: n=212, min=10.036, max=10.251; C6: n=212, min=10.0348, max=10.2635; C7: n=212, min=10.0205, max=10.2252",cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,The Taupe/TDR workbook sheets give date ranges and EDZ band summaries; current model use remains trend/anomaly based until units/calibration are confirmed.
taupe_tdr,document/presentation extract,2604_TD_CD-A_ISU.pdf,type pdf; pages/slides 7; keywords ERT; Taupe; TDR; fault; CD-A; extract cda_knowledge_base/measurements/taupe_tdr/derived_files/deep_source_pass/extracted_text/2604_TD_CD-A_ISU_79f12d23.pdf.txt,cda_knowledge_base/measurements/taupe_tdr/source_files/2604_TD_CD-A_ISU.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
taupe_tdr,document/presentation extract,CD-A_Slides_TD_260427x.pdf,type pdf; pages/slides 34; keywords ERT; NMR; Taupe; suction; humidity; relative humidity; permeability; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; OGS; HERMES; CD-A; niche; extract cda_knowledge_base/measurements/taupe_tdr/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_c2d9942f.pdf.txt,cda_knowledge_base/measurements/taupe_tdr/source_files/CD-A_Slides_TD_260427x.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
taupe_tdr,text/data source,VisualisationCDA.dat,"not counted (large file) lines; first extracted content: TITLE = """" | VARIABLES = ""X"" | ""Y"" | ""Z"" | TEXT | CS=FRAME | X=9.78378378378,Y=15.6756756757 | C=BLACK | S=LOCAL | HU=POINT",cda_knowledge_base/measurements/taupe_tdr/source_files/VisualisationCDA.dat,Header/first-line extraction is recorded in derived_files/deep_source_pass/extracted_text.
taupe_tdr,text/data source,taupe_unit_calibration_response_notes.md,29 lines; first extracted content: # Response Notes: taupe_unit_calibration | - Response status: `missing_response` | - Request status: `drafted_pending_send` | - Gate: `TAUPE_UNIT_CALIBRATION` | - Audience: Taupe/TDR provider via Gesa Ziefle | - Recipient draft: `inversion_workflow/external_ga,cda_knowledge_base/measurements/taupe_tdr/source_files/provider_responses/taupe_unit_calibration_response_notes.md,Header/first-line extraction is recorded in derived_files/deep_source_pass/extracted_text.
suction_relative_humidity,catalogue scope,copied source files,"10 files; total copied source bytes 33245217; file kinds pdf=3, png=1, text/data=1, xlsx=4, zip=1",,Counts are from cda_knowledge_base/measurements/deep_source_index.csv.
suction_relative_humidity,workbook content,OT_RH5.xlsx / OT_RH5,"1043 x 2; 2086 non-empty cells; dates 2022-01-11T00:00:00 to 2025-09-04T00:00:00 (n=1042); numeric ranges: C2: n=1042, min=94.0807, max=95.9927",cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,The RH workbooks provide sensor-specific time series; current model use is boundary-condition evidence until active-curve provenance is confirmed.
suction_relative_humidity,workbook content,OT_RH6.xlsx / OT_RH6,"1065 x 2; 2130 non-empty cells; dates 2021-12-16T00:00:00 to 2025-09-04T00:00:00 (n=1064); numeric ranges: C2: n=1064, min=93.3225, max=94.9883",cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH6.xlsx,The RH workbooks provide sensor-specific time series; current model use is boundary-condition evidence until active-curve provenance is confirmed.
suction_relative_humidity,workbook content,OT_RH7.xlsx / OT_RH7,"1072 x 2; 2144 non-empty cells; dates 2021-12-16T00:00:00 to 2025-09-04T00:00:00 (n=1071); numeric ranges: C2: n=1071, min=13.188, max=97.2722",cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH7.xlsx,The RH workbooks provide sensor-specific time series; current model use is boundary-condition evidence until active-curve provenance is confirmed.
suction_relative_humidity,workbook content,OT_RH8.xlsx / OT_RH8,"1071 x 2; 2142 non-empty cells; dates 2021-12-16T00:00:00 to 2025-09-04T00:00:00 (n=1070); numeric ranges: C2: n=1070, min=13.2027, max=96.2194",cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH8.xlsx,The RH workbooks provide sensor-specific time series; current model use is boundary-condition evidence until active-curve provenance is confirmed.
suction_relative_humidity,document/presentation extract,2026-05-11_TD517_CD-A_260507__Minutes.pdf,type pdf; pages/slides 8; keywords ERT; NMR; Taupe; TDR; suction; humidity; relative humidity; permeability; fault; fracture; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; HERMES; CD-A; niche; extract cda_knowledge_base/measurements/suction_relative_humidity/derived_files/deep_source_pass/extracted_text/2026-05-11_TD517_CD-A_260507__Minutes_b51fd4c5.pdf.txt,cda_knowledge_base/measurements/suction_relative_humidity/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
suction_relative_humidity,document/presentation extract,CD-A_Slides_TD_260427x.pdf,type pdf; pages/slides 34; keywords ERT; NMR; Taupe; suction; humidity; relative humidity; permeability; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; OGS; HERMES; CD-A; niche; extract cda_knowledge_base/measurements/suction_relative_humidity/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_a52c9ad7.pdf.txt,cda_knowledge_base/measurements/suction_relative_humidity/source_files/CD-A_Slides_TD_260427x.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
suction_relative_humidity,document/presentation extract,RO_2013.4_3974_CD-A3 Phase 30_A21_TN-2025-12_signed.pdf,type pdf; pages/slides 22; keywords ERT; suction; humidity; relative humidity; fault; saturation; CD-A; niche; extract cda_knowledge_base/measurements/suction_relative_humidity/derived_files/deep_source_pass/extracted_text/RO_2013.4_3974_CD-A3 Phase 30_A21_TN-2025-12_signed_88416e56.pdf.txt,cda_knowledge_base/measurements/suction_relative_humidity/source_files/RO_2013.4_3974_CD-A3 Phase 30_A21_TN-2025-12_signed.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
suction_relative_humidity,text/data source,rh_active_curve_provenance_response_notes.md,29 lines; first extracted content: # Response Notes: rh_active_curve_provenance | - Response status: `missing_response` | - Request status: `drafted_pending_send` | - Gate: `RH_ACTIVE_CURVE_PROVENANCE` | - Audience: Gesa Ziefle / BGR RH or OGS boundary-curve source | - Recipient draft: `inversi,cda_knowledge_base/measurements/suction_relative_humidity/source_files/provider_responses/rh_active_curve_provenance_response_notes.md,Header/first-line extraction is recorded in derived_files/deep_source_pass/extracted_text.
permeability_pulse_tests,catalogue scope,copied source files,"6 files; total copied source bytes 14953844; file kinds pdf=3, text/data=1, xlsx=2",,Counts are from cda_knowledge_base/measurements/deep_source_index.csv.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / Diagram_BCDA all,chartsheet x chartsheet; 0 non-empty cells; headers: Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / 2021,chartsheet x chartsheet; 0 non-empty cells; headers: Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / 2024,chartsheet x chartsheet; 0 non-empty cells; headers: Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / vertically,chartsheet x chartsheet; 0 non-empty cells; headers: Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / horizontally,chartsheet x chartsheet; 0 non-empty cells; headers: Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / Diagram_BCDA CT,chartsheet x chartsheet; 0 non-empty cells; headers: Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / Diagram_BCDA OT,chartsheet x chartsheet; 0 non-empty cells; headers: Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / 2024_OT,"80 x 34; 98 non-empty cells; numeric ranges: C1: n=15, min=1, max=15; C2: n=11, min=0.17, max=2.5; C3: n=11, min=5e-21, max=8e-13; C4: n=11, min=5e-22, max=8e-14; C6: n=14, min=0.15, max=3.3; C7: n=12, min=8e-21, max=8e-15; C8: n=14, min=0, max=8e-16",cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / 2024_CT,"80 x 34; 106 non-empty cells; numeric ranges: C1: n=15, min=1, max=15; C2: n=15, min=0.15, max=3.3; C3: n=15, min=2e-21, max=1e-13; C4: n=15, min=2e-22, max=1e-14; C6: n=12, min=0.17, max=3.3; C7: n=12, min=1e-21, max=9e-20; C8: n=12, min=1e-22, max=9e-21",cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / 2021_BCDA27_19,"80 x 38; 152 non-empty cells; numeric ranges: C1: n=15, min=1, max=15; C2: n=15, min=0.15, max=3.3; C3: n=15, min=6e-21, max=6e-15; C4: n=15, min=6e-22, max=6e-16; C6: n=15, min=0.15, max=3.3; C7: n=15, min=1e-21, max=8e-17; C8: n=15, min=1e-22, max=8e-18; C10: n=8, min=0.7, max=1.7",cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / Messdaten_BCDA26,"1871 x 42; 6714 non-empty cells; numeric ranges: C1: n=115, min=0, max=570; C2: n=115, min=1.54e+05, max=2e+05; C3: n=116, min=0, max=575; C4: n=116, min=1.791e+05, max=2e+05; C5: n=16, min=0, max=75; C6: n=16, min=9.592e+04, max=2e+05; C7: n=60, min=0, max=590; C8: n=60, min=9.749e+04, max=2e+05",cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
permeability_pulse_tests,workbook content,2025-09-05_CD-A_Permeability.xlsx / Messdaten_BCDA27,"1874 x 42; 6776 non-empty cells; numeric ranges: C1: n=89, min=0, max=440; C2: n=89, min=1.101e+05, max=2e+05; C3: n=89, min=0, max=440; C4: n=89, min=1.905e+05, max=2e+05; C5: n=110, min=0, max=545; C6: n=110, min=1.98e+05, max=2e+05; C7: n=159, min=0, max=790; C8: n=159, min=1.99e+05, max=2e+05",cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,These sheets combine interpreted permeability/transmissibility rows with raw pressure-decay blocks and chart sheets.
